,unit,carriage,destination,origin,2019
448,MIO_TKM,HIRE,ES,RO,879.0
449,MIO_TKM,HIRE,ES,SE,9.0
450,MIO_TKM,HIRE,ES,SI,152.0
451,MIO_TKM,HIRE,ES,SK,397.0
452,MIO_TKM,HIRE,ES,UK,128.0
681,MIO_TKM,HIRE,FI,AT,2.0
682,MIO_TKM,HIRE,FI,BE,
683,MIO_TKM,HIRE,FI,BG,
684,MIO_TKM,HIRE,FI,CY,0.0
685,MIO_TKM,HIRE,FI,CZ,15.0
686,MIO_TKM,HIRE,FI,DE,7.0
687,MIO_TKM,HIRE,FI,DK,33.0
688,MIO_TKM,HIRE,FI,EE,102.0
689,MIO_TKM,HIRE,FI,EL,
690,MIO_TKM,HIRE,FI,ES,
692,MIO_TKM,HIRE,FI,FR,
693,MIO_TKM,HIRE,FI,HR,5.0
694,MIO_TKM,HIRE,FI,HU,
695,MIO_TKM,HIRE,FI,IE,
696,MIO_TKM,HIRE,FI,IT,19.0
697,MIO_TKM,HIRE,FI,LT,121.0
698,MIO_TKM,HIRE,FI,LU,
699,MIO_TKM,HIRE,FI,LV,72.0
700,MIO_TKM,HIRE,FI,NL,22.0
701,MIO_TKM,HIRE,FI,NO,9.0
702,MIO_TKM,HIRE,FI,PL,523.0
703,MIO_TKM,HIRE,FI,PT,
704,MIO_TKM,HIRE,FI,RO,19.0
705,MIO_TKM,HIRE,FI,SE,59.0
706,MIO_TKM,HIRE,FI,SI,
707,MIO_TKM,HIRE,FI,SK,13.0
708,MIO_TKM,HIRE,FI,UK,0.0
709,MIO_TKM,HIRE,FR,AT,110.0
710,MIO_TKM,HIRE,FR,BE,2967.0
711,MIO_TKM,HIRE,FR,BG,183.0
712,MIO_TKM,HIRE,FR,CH,146.0
713,MIO_TKM,HIRE,FR,CY,1.0
714,MIO_TKM,HIRE,FR,CZ,508.0
715,MIO_TKM,HIRE,FR,DE,2824.0
716,MIO_TKM,HIRE,FR,DK,81.0
717,MIO_TKM,HIRE,FR,EE,30.0
718,MIO_TKM,HIRE,FR,EL,482.0
719,MIO_TKM,HIRE,FR,ES,16006.0
721,MIO_TKM,HIRE,FR,FI,
722,MIO_TKM,HIRE,FR,HR,131.0
723,MIO_TKM,HIRE,FR,HU,550.0
724,MIO_TKM,HIRE,FR,IE,68.0
725,MIO_TKM,HIRE,FR,IT,3202.0
726,MIO_TKM,HIRE,FR,LI,
727,MIO_TKM,HIRE,FR,LT,595.0
728,MIO_TKM,HIRE,FR,LU,159.0
729,MIO_TKM,HIRE,FR,LV,233.0
730,MIO_TKM,HIRE,FR,NL,2518.0
731,MIO_TKM,HIRE,FR,NO,
732,MIO_TKM,HIRE,FR,PL,6735.0
